filer_nam_l,rec_type,entity_nam_l,entity_nam_f,entity_zip4,entity_emp,tran_type,tran_date,amount
Gaspar for Supervisor 2020,EXPN,Secretary of State - Political Reform Division,,95814,,,2017-12-19,50.0
Gaspar for Supervisor 2020,EXPN,Revolvis Consulting Inc.,,92119,,,2017-10-04,144.0
Gaspar for Supervisor 2020,EXPN,Safeguard Business Systems,,60680,,,2017-09-25,101.6
Gaspar for Supervisor 2020,EXPN,Secretary of State - Political Reform Division,,95814,,,2017-09-07,50.0
Gaspar for Supervisor 2020,EXPN,"Scott & Cronin, LLP",,92024,,,2018-02-15,275.0
Gaspar for Supervisor 2020,EXPN,"Scott & Cronin, LLP",,92024,,,2018-01-18,340.29
